participant_id,frame,question,main,follow_up,choice,evaluation
374,gain,Virus,True,,2,47
374,gain,Virus,,True,0,60
375,loss,Disease,True,,1,80
375,loss,Unemployment,True,,0,90
375,loss,Painting,True,,1,58
375,loss,Virus,True,,2,50
375,loss,Virus,,True,1,71
376,loss,Disease,True,,1,82
376,loss,Unemployment,True,,0,72
376,loss,Painting,True,,0,66
376,loss,Virus,True,,0,64
381,gain,Disease,True,,0,100
381,gain,Unemployment,True,,1,100
381,gain,Painting,True,,1,100
381,gain,Virus,True,,1,54
383,gain,Disease,True,,0,80
383,gain,Unemployment,True,,1,100
383,gain,Painting,True,,0,80
383,gain,Virus,True,,0,80
384,loss,Disease,True,,1,30
384,loss,Unemployment,True,,0,70
384,loss,Painting,True,,0,50
384,loss,Virus,True,,1,67
385,gain,Disease,True,,0,60
385,gain,Unemployment,True,,1,90
385,gain,Painting,True,,0,79
385,gain,Virus,True,,0,80
386,loss,Disease,True,,1,42
386,loss,Unemployment,True,,0,79
386,loss,Painting,True,,1,71
386,loss,Virus,True,,1,57
388,gain,Disease,True,,0,70
388,gain,Unemployment,True,,1,72
388,gain,Painting,True,,0,50
388,gain,Virus,True,,0,60
389,loss,Disease,True,,1,86
389,loss,Unemployment,True,,0,92
389,loss,Painting,True,,2,82
389,loss,Painting,,True,0,60
389,loss,Virus,True,,0,73
394,gain,Disease,True,,2,7
394,gain,Disease,,True,0,5
394,gain,Unemployment,True,,1,18
394,gain,Painting,True,,0,20
394,gain,Virus,True,,0,18
395,gain,Disease,True,,1,70
395,gain,Unemployment,True,,1,70
